REQ_ID,AREA,FILE,ANCHOR,STATEMENT,TYPE,PRIORITY,STATUS,MILESTONE,ACCEPTANCE
REQ-CORE-004,CORE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 2 — Canonical tick orchestrator and ledger framework,"Implement WorldState, TickContext and a sixteen-phase orchestrator numbered 0 through 15.",functional,P0,READY,M2,A phase-trace test proves exactly phases 0..15 in canonical order and no Phase 16 exists.
REQ-CORE-005,CORE,06 - Handoff/01 — CORE_SCHEMA_AND_LIFECYCLES.md,PendingTransitions,Future policy/jurisdiction/lifecycle effects are queued in PendingTransitions and cannot mutate current-tick authoritative state early.,invariant,P0,READY,M2,Tests prove an N+1 transition cannot take effect before its defined activation boundary.
REQ-CORE-006,CORE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 2 — Canonical tick orchestrator and ledger framework,"Provide typed ledger/flow records and phase-level invariant hooks for money, goods and physical losses before rich economics.",functional,P0,READY,M2,"Zero-flow canonical ticks reconcile all tracked stock categories using the resolved SimulationConfig.numeric reconciliation tolerance. The M2 diagnostic projection exposes deterministic MONEY and GOOD signed deltas plus PHYSICAL_LOSS attribution with tick/phase, stock key, authoritative owner/location and stable reason/causal linkage; equal-and-opposite transfers reconcile to zero. A test-only unmatched normalized delta fails deterministically and reports the affected stock category/key and residual. No M2-local epsilon/tolerance or undocumented production mutation path may be invented."
REQ-ACCEPTANCE-001,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M2,"At M2, at least 100 no-op canonical ticks preserve all stocks except explicitly time-derived counters.",acceptance,P0,READY,M2,Automated 100+ tick test preserves exact discrete/no-op stocks and applies the resolved SimulationConfig.numeric.reconciliationRelativeTolerance where tolerance-based reconciliation is required; no milestone-local tolerance is permitted.
REQ-ACCEPTANCE-002,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M2,Canonical replay hash is deterministic for at least 100 ticks at M2.,acceptance,P0,READY,M2,Repeated same-input 100-tick canonical runs produce the same normalized hash.
REQ-ACCEPTANCE-003,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M2,Zero-flow reconciliation passes for all tracked stock categories at M2.,acceptance,P0,READY,M2,Automated reconciliation suite reports no unexplained money/goods/population/capital/resource drift in the M2 no-op scenario.
REQ-VISUALIZATION-002,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Non-negotiable migration rules,"Every M0–M12 must allocate at least 5% of planned implementation units, rounded up with a minimum of one unit per milestone, to user-visible visualization/presentation work on GitHub Pages. Before M11 this is a lightweight Milestone Preview; M11 delivers the canonical observatory; M12 leaves only the canonical release experience.",acceptance,P1,FROZEN,,"For each milestone, visualization units / planned implementation units is >= 5% after rounding up and is never zero; a counted unit must produce a directly visible GitHub Pages change plus a build/render smoke check. Pre-M11 previews are one-way diagnostic/golden outputs and never mutate WorldState or become a competing canonical browser API."
REQ-VISUALIZATION-003,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 0 — Baseline lock and migration scaffolding,Publish an M0 Milestone Preview on the existing GitHub Pages site so baseline/scaffolding progress is visible before canonical economics begin.,functional,P1,READY,M0,"GitHub Pages visibly shows the M0 milestone label, fixed documented legacy baseline seed/hash and canonical TypeScript scaffolding status; existing legacy run visualization remains usable; Pages build/render smoke passes."
REQ-VISUALIZATION-004,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 1 — Canonical primitives, config and world genesis",Extend the Milestone Preview with a deterministic M1 world-gen overview using the baseline scenario.,functional,P1,READY,M1,"GitHub Pages shows scenario/seed and canonical State, Region, Currency, Clan and major entity counts/topology from deterministic M1 genesis output; the preview is generated one-way and does not expose mutable domain objects."
REQ-VISUALIZATION-005,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 2 — Canonical tick orchestrator and ledger framework,Extend the Milestone Preview with M2 tick/phase and reconciliation visibility for the canonical no-op scenario.,functional,P1,READY,M2,"GitHub Pages shows the canonical 0–15 phase trace, current/observed tick range and zero-flow ledger/reconciliation health for the deterministic M2 no-op run; a Pages build/render smoke passes and visualization cannot affect replay hash."
REQ-MARKET-001,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,5. Ephemeral MarketIntent contract,"Implement the M3 local MarketIntent contract, explicit inventory endpoints and planner budget commitments for deterministic static-fixture actors. For REQ-MARKET-001, read Handoff/04 sections 5 and 6 together; section 6 is part of this executable slice.",functional,P0,READY,M3,"Tests reject non-finite/negative intents; BUY requires bounded maxSpend, SELL respects reserve/available stock, ProductionUnit intents use explicit inventory buckets, and submitted BUY commitments cannot exceed the planner's allocated cash envelope or rely on unplanned same-pass sale proceeds."
REQ-MARKET-002,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,9. Phase-6 price formation,Implement persistent local market expectation state and exactly-once Phase-6 bounded log-space repricing using canonical configured market parameters.,functional,P0,READY,M3,"Zero demand/supply leaves price unchanged; excess demand and excess supply move price in the documented directions; price updates exactly once per tick, remains within configured floor/ceiling and max-log-step bounds, and produces identical results under semantically equivalent shuffled enumeration. SimulationConfig supplies finite positive targetInventoryCoverageTicks. A no-information MAIN pass leaves expectation state unchanged; the first informative MAIN pass initializes expected-use/shortage/surplus EMAs directly; later informative passes apply expectationAlpha; Phase-6 uses current D only before the first observation and lagged expectedUseEma afterward."
REQ-MARKET-003,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,10. Deterministic local clearing primitive,"Implement deterministic proportional local clearing and MarketAllocation construction for one Region, Good and local pass. For REQ-MARKET-003, read Handoff/04 sections 7, 10 and 11 together: section 7 defines sellable/effectiveDemand inputs and section 11 defines the MarketAllocation output schema.",functional,P0,READY,M3,"Seller fills and buyer fills sum to the same cleared quantity within canonical tolerance; no fill exceeds sellable stock, reserve, effective demand or maxSpend; residual correction and concrete matching are stable-ID ordered; shuffled intent insertion produces identical normalized allocations."
REQ-MARKET-004,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,12. Transaction schemas for local trade,"Implement preflighted atomic local market settlement with explicit goods endpoints, seller-net payment and consumption-tax ledger transfer.",invariant,P0,READY,M3,"For every committed local sale, seller inventory decrease equals buyer inventory increase in the named buckets and buyer gross debit equals seller net receipt plus collected tax; the tax-policy input is a deterministic read-only provider exposing the applicable consumption-tax rate and collectionEfficiency; a fixture with 0 < collectionEfficiency < 1 proves only collected tax is debited/credited while assessed-but-uncollected tax remains with the buyer; an uncontrolled Region collects zero State consumption tax; failed preflight leaves all stocks unchanged; no wallet/inventory becomes negative or non-finite. M3 must not implement fiscal policy dynamics."
REQ-MARKET-005,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,33. Market telemetry required for Phase 15 and UI,Emit the M3 local-market telemetry needed for diagnostics and the milestone preview without making telemetry authoritative economic state.,functional,P0,READY,M3,"The seeded M3 fixture emits desired/effective demand, offered/cleared quantity, seller-net and household-gross price references, unmet demand, unsold offer, shortage/surplus signals and consumption tax collected from actual clearing; turning telemetry on/off does not change canonical stocks, allocations or replay hash."
REQ-ACCEPTANCE-004,ACCEPTANCE,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,40. Benchmark/golden scenarios,"Pass the M3 local-market golden gate using deterministic seeded static wallets/inventories, without production, trade/FX or population decision logic.",acceptance,P0,READY,M3,"The local-shortage golden plus the M3-local subset MTFX-T1..T6 / MTFX-I1..I6 pass: bounded directional repricing, tax-aware affordability, deterministic proportional rationing, exact local goods/money reconciliation, no market-owned stock, no overdraft/unavailable-goods transfer, and insertion-order invariance on a seeded static fixture."
REQ-VISUALIZATION-006,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),"Publish a polished M3 LocalMarket Pages experience backed by deterministic M3 telemetry: consolidate the current Milestone Preview, show legible market trends and current-tick balance/settlement visuals plus headline metrics and plain-English explanation, with responsive/accessibility/error-state acceptance and no simulation-state mutation.",functional,P0,READY,M3,"GitHub Pages visibly shows one M3 LocalMarket slice with price, cleared/traded quantity, shortage/surplus, seller-net versus buyer-gross context and settlement/tax totals plus a short plain-English explanation; the source is deterministic one-way preview output, Pages build/render smoke passes, and enabling the preview cannot mutate WorldState or change replay hash."
REQ-VISUALIZATION-007,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 3 — Local markets and transaction settlement,"Refresh the root README and directly linked public project documentation so they accurately describe the canonical TypeScript runtime, current M3 capabilities, Pages experience, build/run/test commands, migration status, and the legacy C# toy as reference rather than the current architecture.",functional,P0,READY,M3,README and directly linked public docs accurately describe the canonical TypeScript runtime and current evidence-backed M3 state; legacy C# is clearly labeled reference/oracle; Pages is linked and described truthfully; documented build/typecheck/test/run commands match the repository; no PARTIAL requirement is claimed complete; public text uses clear canonical terminology and does not invent or change economic mechanics.
REQ-VISUALIZATION-008,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone 3 — Local markets and transaction settlement,"Publish at least two concise public M3 reference/explainer articles, linked from README or Pages, covering the local-market price/clearing/shortage-surplus model and settlement/tax/reconciliation/telemetry in simple canonical English without inventing new mechanics.",functional,P0,READY,M3,"At least two distinct public explainer/reference articles are committed and reachable from README or Pages: one explains LocalMarket price/clearing/shortage-surplus semantics and deterministic ordering, and one explains settlement, seller-net versus buyer-gross, consumption-tax flow, reconciliation and telemetry. Both use canonical timing/units/terms, distinguish economic state from telemetry, do not invent alternate metrics/mechanics, and all links/docs checks remain green."
REQ-CONFIG-006,CONFIG,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,37. Configuration surface,"Add the M4-used ProductionConfig and LaborConfig surface with canonical ownership, bounds and defaults; do not duplicate market, tax or later-milestone policy parameters.",config,P0,READY,M4,"Validation tests cover every M4-used production/labor control, reject non-finite or out-of-range values, preserve canonical MarketConfig/tax ownership, and do not introduce M5+ trade/FX or M6+ policy dynamics."
REQ-CONFIG-007,CONFIG,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,33. Configuration surface,"Add only the M4-used PopulationConfig and need-category controls for household demand, labor participation, liquidity floors, inventory carryover/spoilage and M4 economic signal updates; defer demography, migration and deeper Clan behavior.",config,P0,READY,M4,"Validation tests prove M4 population/needs configuration has one canonical owner, finite bounded values and deterministic defaults; M8 demographic/migration behavior and M6 Clan institutional behavior are not pulled forward."
REQ-PRODUCTION-001,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,3. Additive persistent ProductionUnit fields,"Concretize the M4 ProductionUnit physical/economic state needed for production, including production signals, distinct investment inventory and installed-capital-derived nameplate capacity.",functional,P0,READY,M4,"Tests prove investmentInventory is a distinct physical stock, serialized capacity is not an independently mutable authority, derived nameplate capacity equals installedCapital × recipe.batchesPerCapitalUnit, and invalid/non-finite state or recipe coefficients fail fast."
REQ-PRODUCTION-002,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,6. Phase-2 ProductionPlan,"Implement deterministic Phase-2 production planning, adaptive utilization, working-capital envelopes and canonical input/investment/output intent construction from prior-close evidence.",functional,P0,READY,M4,"Planning tests prove payroll is reserved before procurement, input/investment maxSpend stays inside explicit cash envelopes, plans use only opening/prior-close information, and no same-tick sale revenue, Phase-7 import, future subsidy or implicit credit finances current production."
REQ-POPULATION-001,POPULATION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,4. Need categories and household demand,"Implement M4 household consumption planning: canonical need categories, liquidity-first budgets, bounded product substitution and CONSUMPTION MarketIntent generation.",functional,P0,READY,M4,"Tests prove essential budget priority does not become market-clearing priority, substitution shares are finite and normalized, consumption intents use canonical MarketIntent/maxSpend, and Phase-2 planning does not treat unsettled current-tick wages as already spendable cash."
REQ-POPULATION-002,POPULATION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,8. LaborSupplyPlan generation,"Implement the Population-owned M4 LaborSupplyPlan consumed by the production labor allocator, without introducing a second labor market or employer-linked persistent employment stock.",functional,P0,READY,M4,"Only eligible WORKING cohorts emit normal labor supply; available worker-equivalents never exceed cohort population, configured participation factors remain bounded, and shuffled cohort enumeration produces equivalent normalized supply plans."
REQ-PRODUCTION-003,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,13. Phase-3 regional labor allocation,Implement deterministic regional labor allocation with bounded wage-attractiveness weighting and sticky next-tick wage-offer updates.,functional,P0,READY,M4,"Allocation never exceeds cohort supply or unit demand, no worker-equivalent is double allocated, capped proportional matching is stable under insertion-order changes, and Phase-15 wage updates obey configured bounds and affect N+1 only."
REQ-PRODUCTION-004,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,15. Wage settlement and withholding,Implement atomic Phase-5 gross wage settlement and wage-tax withholding with explicit cohort and State recipients and no duplicate later wage taxation.,invariant,P0,READY,M4,"For every wage bundle employer gross debit equals cohort net receipt plus State collected wage tax; payroll cannot exceed the Phase-3 obligation/reserve or overdraw cash; current net wage receipts are authoritative before Phase-8 household affordability; Phase 10 cannot tax the same wage again. Before M6, wage-tax, collection-efficiency, minimum-wage and related legal inputs used by this M4 slice come only from explicit deterministic read-only fixture/scenario queries; tests prove M4 does not instantiate mutable fiscal-policy, transfer, debt or policy-review behavior."
REQ-PRODUCTION-005,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,16. Phase-5 realized production,"Implement Phase-5 bottleneck production/extraction and output inventory/sale intent flow using actual inputs, allocated labor, installed capital and finite resource deposits.",functional,P0,READY,M4,"Realized batches never exceed plan/input/labor/capital/resource bounds; exact recipe inputs and finite deposits decline once, exact output enters ProductionUnit output inventory first, ordinary sales use canonical market settlement, and no routine random production multiplier or phantom stock appears."
REQ-POPULATION-003,POPULATION,06 - Handoff/06 — POPULATION_DEMOGRAPHY_CLANS_CONTRACTS.md,6. Consumption and household inventory,"Implement M4 Phase-9 household inventory consumption, bounded carryover/spoilage, need coverage and economic employment/wage evidence without enabling Phase-13 demography.",functional,P0,READY,M4,Household purchases enter householdInventory through canonical settlement; Phase-9 useful consumption produces bounded need coverage; excess perishable carryover is explicit HOUSEHOLD_SPOILAGE destruction; no household resale loop exists; employment/wage evidence matches LaborSupplyPlan and the Phase-5 ledger rather than recomputing transfers.
REQ-PRODUCTION-006,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,19. Investment planning,Implement real-goods investment planning and Phase-12 capital formation/depreciation through canonical investment MarketIntents and investmentInventory.,functional,P0,READY,M4,Investment cash only funds BUY intents; purchased investment goods remain real inventory until consumed; Phase-12 conversion consumes exact goods and changes installedCapital once; depreciation reduces capital once without cash creation/destruction; new capacity is available only on the next tick.
REQ-PRODUCTION-007,PRODUCTION,06 - Handoff/05 — PRODUCTION_CAPITAL_LABOR_CONTRACTS.md,22. Startup / PLANNED ProductionUnit contract,"Implement the minimum M4 ProductionUnit lifecycle for PLANNED, ACTIVE, MOTHBALLED and CLOSING units, including explicit startup readiness, consecutive-review transitions and safe retirement.",functional,P0,READY,M4,"Lifecycle tests prove non-ACTIVE units produce no normal output, activation waits for real capital/infrastructure/operating-cash readiness and takes effect next tick, mothball/reactivation/closing require configured consecutive reviews, explicit owner funding conserves money, and no unit is removed with residual canonical stock/reference; no M6 Clan decision system is introduced."
REQ-PRODUCTION-008,PRODUCTION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,"Milestone 4 — Production, labor, consumption and local closed economy","Wire the M4 one-region autonomous closed-economy loop through the canonical phase orchestrator, reusing M3 markets rather than adding subsystem-local purchase or settlement paths.",functional,P0,READY,M4,"A seeded one-region run proves Phase-2 plans feed Phase-3 labor, Phase-4 input procurement, Phase-5 wages/production, Phase-6/8 canonical market clearing, Phase-9 consumption, Phase-12 capital and Phase-14/15 lifecycle/signal close in causal order; Phase-5 wages are available to Phase-8 affordability and same-tick Phase-7 imports cannot retroactively feed Phase-5 production."
REQ-ACCEPTANCE-005,ACCEPTANCE,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Gate M4,"Pass the M4 one-region closed-economy golden gate for production, labor, household consumption, capital and finite extraction.",acceptance,P0,READY,M4,"The deterministic one-region golden runs at least 240 ticks with no accounting failure, NaN/Infinity or negative canonical stock; production respects labor/input/capital/resource bounds; payroll/withholding reconcile; household settlement respects actual post-wage cash; capital installation consumes real goods and depreciation creates no goods; finite deposits decline only through recorded extraction; repeated same-input runs produce the same normalized hash."
REQ-VISUALIZATION-009,VISUALIZATION,06 - Handoff/11 — REPOSITORY_MIGRATION_AND_MILESTONE_GATES.md,Milestone preview scope (M0–M12),"Publish the M4 one-region economy Milestone Preview with directly visible production, employment/wages, needs satisfaction and key inventory/capital evolution.",functional,P1,READY,M4,"GitHub Pages visibly shows a compact deterministic M4 closed-economy story with 1–3 legible visuals covering production/output, employment or wages, needs satisfaction and key inventory/capital change; units/labels and a short plain-English explanation are present; desktop/narrow render smoke and explicit unavailable/error handling pass; preview generation is one-way and cannot mutate WorldState, consume economic RNG or change replay hash."
REQ-CONFIG-008,CONFIG,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,13. Trade topology,Implement M5 sparse directed TransportLink topology and TradeConfig transport inputs with deterministic capacity/cost semantics; do not introduce all-pairs or multi-hop routing.,config,P0,READY,M5,"Genesis/config tests reject invalid link references, non-finite/out-of-range cargo weight, capacity, condition, travelTicks and fee fields; effective capacity and destination-currency transport fee inputs are deterministic; only configured directed links are eligible; same semantic topology normalizes identically regardless of registry insertion order."
REQ-CONFIG-009,CONFIG,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,17. FX pair canonical storage,"Concretize M5 finite pairwise FX pool/FxConfig genesis authority with explicit base/quote direction, opening reserves, spread, reserve floors and bounded next-rate inputs, without enabling M7 policy/OMO.",config,P0,READY,M5,"Exactly one canonical pool exists per active pair under the base-currency authority; base/quote is explicit rather than lexical; opening base/quote reserves, spot, spread, reserve floors and max-rate inputs are finite/validated and reconcile as opening currency stocks; no duplicate pool or M7 policy behavior is introduced."
REQ-MARKET-006,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,15. Trade residual supply and demand,"Implement pure deterministic Phase-7 residual trade planning over sparse directed links, including candidate economics, bounded quantity sizing, legal gates and reservations that prevent export/local-supply or import/local-demand double use.",functional,P0,READY,M5,"Closed/zero-capacity links yield no plan; candidate quantity is bounded by remaining goods, residual demand, cargo-weight capacity, buyer budget, legal cap and FX feasibility; export/import reservations prevent Phase-8 double use; candidate/matching order is stable-ID deterministic and insertion-order invariant; Phase-14 controller changes cannot affect tick-N classification."
REQ-MONETARY-001,MONETARY,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,18. FX quote convention and pure quote function,"Implement the M5 finite FX quote/reservation layer over the single canonical pair pool, including two-way quote formulas, reserve floors, spread, deterministic Phase-7 reservations and desired/filled pressure telemetry.",functional,P0,READY,M5,Base→quote and quote→base formulas match the canonical convention; quote/reserve calls do not mutate WorldState or money supply; reserve floors bound feasible output; competing candidates cannot over-reserve shared pool output or actor input cash; current-tick spot is immutable during Phase 7; semantically equal shuffled inputs produce equal normalized reservations.
REQ-MONETARY-002,MONETARY,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,19. FX settlement primitive,Implement the one canonical atomic settleFx conversion and linked FX ledger endpoint that all cross-currency M5 goods payments reuse.,invariant,P0,READY,M5,"Settlement preflight enforces pair direction, payer input cash, max input, desired output and pool reserve floor; successful conversion debits/credits payer, pool and recipient exactly once and emits linked FX_INPUT/FX_OUTPUT legs; each currency conserves independently, spread stays in pool stock, failed preflight is atomic, and same-currency flows emit no FX settlement."
REQ-MARKET-007,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,26. Atomic shipment settlement,"Implement canonical Phase-7 atomic cross-region dispatch with explicit buyer/seller currencies, exactly one FX conversion when required, transport fee, tariff/consumption-tax recipients and shrink-before-mutation semantics.",invariant,P0,READY,M5,Buyer debit reconciles by currency to seller receipt plus explicit transport/tariff/tax legs; FX scarcity or any feasibility limit resizes quantity before seller goods move; same-currency/monetary-union trade emits no FX leg; failed goods/budget/capacity/FX preflight creates no shipment or partial mutation; current Phase-1 jurisdiction owns border/tariff classification.
REQ-MARKET-008,MARKET,06 - Handoff/04 — MARKETS_TRADE_FX_CONTRACTS.md,27. Shipment persistent extension,"Implement persistent TradeShipment ownership, destination inventory bucket, deterministic IDs, optional routine physical loss and exact Phase-7-close/Phase-1 arrival semantics.",functional,P0,READY,M5,"Dispatch removes source-local goods exactly once and in-transit quantity exists only in shipment state; destination bucket identity survives delay; zero-travel delivery occurs after Phase 7 and cannot feed Phase 5, positive-travel delivery occurs exactly at future Phase 1, routine loss is one explicit goods-destruction flow with no refund, and shipment IDs/delivery order are insertion-order invariant."
REQ-MONETARY-003,MONETARY,06 - Handoff/08 — MONETARY_CURRENCY_CONTRACTS.md,14. Phase-11 FX rate update,"Implement the M5 Phase-11 finite-pool reconciliation/pressure close and bounded next-tick spot update after all same-tick FX settlement consumers, without pulling M7 CPI/policy/OMO forward.",functional,P0,READY,M5,"Phase 11 reconciles each pool and per-currency actor+pool stock, derives realized flow/reserve pressure deterministically, computes only the N+1 bounded spot quote, never changes pool inventories through repricing, never retroactively changes Phase-7 settlements, remains stable under neutral/zero flow, and reproduces the same quote sequence for the same inputs."
